screen_width,window_height,workerId,window_width,curId,curTime,counterBalance_order,userAgent,runTime,screen_height,circle_key,tri_key,blue_key,red_key,color,shape,blockTime,Block,rt,totalPoints,stim_color,response_location,transition,rightpoints,trial,stim_shape,leftpoints,task_attempt,error,response_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,390,3,red,left,Repeat,2,2,triangle,1,shape,0,tri_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,696,4,red,left,Repeat,2,3,circle,1,shape,0,circle_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,557,5,blue,left,Repeat,2,4,triangle,1,shape,0,tri_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,775,8,blue,right,Switch,3,5,triangle,1,color,0,blue_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,450,10,blue,right,Repeat,2,6,circle,1,color,0,blue_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,370,11,blue,right,Repeat,1,7,circle,1,color,0,blue_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,706,12,blue,right,Repeat,1,8,triangle,2,color,0,blue_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,389,15,blue,left,Switch,1,9,triangle,3,shape,0,tri_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,376,18,red,left,Repeat,1,10,circle,3,shape,0,circle_key
1760,8,A2JDJL3FQ56GO1,1699,308XBLVESJO5HGO8ZJXJW16P4MARBC,10/10/2018@13:51:57,cued_first,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0,61.059,990,70,68,75,74,top_right,top_left,11.878,4,545,21,red,left,Repeat,2,11,triangle,3,shape,0,tri_key
